in:73 out:75 type:b q:29.42 q-aq:28.38 q-noVbv:29.42 q-Rceq:1.08 tex:0 mv:63 misc:58 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:75 out:76 type:b q:29.36 q-aq:28.37 q-noVbv:29.36 q-Rceq:1.08 tex:11 mv:59 misc:91 icu:0.00 pcu:4.00 scu:506.00 sc:0 ;
in:80 out:77 type:P q:26.95 q-aq:21.46 q-noVbv:26.95 q-Rceq:1.08 tex:11797 mv:1404 misc:718 icu:0.00 pcu:115.25 scu:394.75 sc:0 ;
in:78 out:78 type:B q:28.14 q-aq:27.22 q-noVbv:28.14 q-Rceq:1.08 tex:2 mv:168 misc:110 icu:0.00 pcu:5.00 scu:505.00 sc:0 ;
in:77 out:79 type:b q:29.30 q-aq:28.24 q-noVbv:29.30 q-Rceq:1.08 tex:7 mv:72 misc:61 icu:0.00 pcu:1.00 scu:509.00 sc:0 ;
in:79 out:80 type:b q:29.24 q-aq:28.24 q-noVbv:29.24 q-Rceq:1.08 tex:0 mv:91 misc:77 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:84 out:81 type:P q:26.86 q-aq:21.44 q-noVbv:26.86 q-Rceq:1.08 tex:11145 mv:1278 misc:652 icu:0.50 pcu:122.25 scu:387.25 sc:0 ;
in:82 out:82 type:B q:28.04 q-aq:27.22 q-noVbv:28.04 q-Rceq:1.08 tex:2 mv:160 misc:104 icu:0.00 pcu:4.25 scu:505.75 sc:0 ;
in:81 out:83 type:b q:29.20 q-aq:28.21 q-noVbv:29.20 q-Rceq:1.08 tex:11 mv:65 misc:64 icu:0.00 pcu:4.00 scu:506.00 sc:0 ;
in:83 out:84 type:b q:29.15 q-aq:28.22 q-noVbv:29.15 q-Rceq:1.08 tex:0 mv:89 misc:71 icu:0.00 pcu:0.00 scu:510.00 sc:0 ;
in:88 out:85 type:P q:26.74 q-aq:21.33 q-noVbv:26.74 q-Rceq:1.08 tex:12798 mv:1750 misc:731 icu:1.75 pcu:123.25 scu:385.00 sc:0 ;
