#options: 480x270 fps=30/1 timebase=1/30 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=8 lookahead_threads=2 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=1 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=40 rc=abr mbtree=1 bitrate=250 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:61 out:63 type:b dur:2 cpbdur:2 q:22.26 aq:18.52 tex:141 mv:182 misc:245 imb:0 pmb:26 smb:484 d:- ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:22.16 aq:16.70 tex:204 mv:212 misc:232 imb:0 pmb:25 smb:485 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:21.91 aq:10.34 tex:23042 mv:969 misc:317 imb:9 pmb:168 smb:333 d:- ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:22.01 aq:16.49 tex:772 mv:599 misc:373 imb:0 pmb:83 smb:427 d:- ref:0 ;
in:65 out:67 type:b dur:2 cpbdur:2 q:22.06 aq:18.19 tex:250 mv:224 misc:278 imb:0 pmb:34 smb:476 d:- ref:0 ;
in:67 out:68 type:b dur:2 cpbdur:2 q:21.96 aq:16.66 tex:276 mv:254 misc:270 imb:0 pmb:33 smb:477 d:- ref:0 ;
in:72 out:69 type:P dur:2 cpbdur:2 q:21.67 aq:10.06 tex:24588 mv:950 misc:294 imb:6 pmb:169 smb:335 d:- ref:0 ;
in:70 out:70 type:B dur:2 cpbdur:2 q:21.79 aq:17.59 tex:909 mv:660 misc:375 imb:0 pmb:79 smb:431 d:- ref:0 ;
in:69 out:71 type:b dur:2 cpbdur:2 q:21.85 aq:18.73 tex:518 mv:274 misc:280 imb:0 pmb:37 smb:473 d:- ref:0 ;
in:71 out:72 type:b dur:2 cpbdur:2 q:21.73 aq:16.13 tex:293 mv:299 misc:280 imb:0 pmb:42 smb:468 d:- ref:0 ;
